queue_id,entity_type,current_internal_entity,current_internal_label,external_record,external_label,source_system,match_score,reason,conflict_notes,suggested_action,decision
game-2067,game,game:uridium,Uridium,assertion:wikipedia:list-of-commodore-64-games-n-z:uridium:title-seed:uridium,Uridium,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2068,game,,,assertion:wikipedia:list-of-commodore-64-games-n-z:uuno-turhapuro-muuttaa-maalle:title-seed:uuno-turhapuro-muuttaa-maalle,Uuno Turhapuro muuttaa maalle,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-2069,game,game:v,V,assertion:wikipedia:list-of-commodore-64-games-n-z:v:title-seed:v,V,wikipedia,0.95,normalised exact label match,,review-existing-match,unresolved
game-2070,game,game:valhalla,Valhalla,assertion:wikipedia:list-of-commodore-64-games-n-z:valhalla:title-seed:valhalla,Valhalla,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2071,game,game:vampire,Vampire,assertion:wikipedia:list-of-commodore-64-games-n-z:vampire:title-seed:vampire,Vampire,wikipedia,0.95,normalised exact label match,,review-existing-match,unresolved
game-2072,game,game:vendetta,Vendetta,assertion:wikipedia:list-of-commodore-64-games-n-z:vendetta:title-seed:vendetta,Vendetta,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2073,game,game:victory-road,Victory Road,assertion:wikipedia:list-of-commodore-64-games-n-z:victory-road:title-seed:victory-road,Victory Road,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2074,game,,,assertion:wikipedia:list-of-commodore-64-games-n-z:video-meanies:title-seed:video-meanies,Video Meanies,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-2075,game,game:vigilante,Vigilante,assertion:wikipedia:list-of-commodore-64-games-n-z:vigilante:title-seed:vigilante,Vigilante,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2076,game,game:vikings,Vikings,assertion:wikipedia:list-of-commodore-64-games-n-z:vikings:title-seed:vikings,Vikings,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2077,game,game:vindicators,Vindicators,assertion:wikipedia:list-of-commodore-64-games-n-z:vindicators:title-seed:vindicators,Vindicators,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2078,game,game:vixen,Vixen,assertion:wikipedia:list-of-commodore-64-games-n-z:vixen:title-seed:vixen,Vixen,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2079,game,,,assertion:wikipedia:list-of-commodore-64-games-n-z:viz-the-game:title-seed:viz-the-game,Viz: The Game,wikipedia,0.00,no canonical exact match,duplicate external label; queue each row and do not merge automatically,review-new-candidate,unresolved
game-2080,game,game:volfied,Volfied,assertion:wikipedia:list-of-commodore-64-games-n-z:volfied:title-seed:volfied,Volfied,wikipedia,0.95,normalised exact label match,,review-existing-match,unresolved
game-2081,game,game:voodoo-castle,Voodoo Castle,assertion:wikipedia:list-of-commodore-64-games-n-z:voodoo-castle:title-seed:voodoo-castle,Voodoo Castle,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2082,game,,,assertion:wikipedia:list-of-commodore-64-games-n-z:vultures:title-seed:vultures,Vultures,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-2083,game,game:war,WAR,assertion:wikipedia:list-of-commodore-64-games-n-z:w-a-r:title-seed:w-a-r,W.A.R.,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2084,game,game:wanted-monty-mole,Wanted! Monty Mole,assertion:wikipedia:list-of-commodore-64-games-n-z:wanted-monty-mole:title-seed:wanted-monty-mole,Wanted: Monty Mole,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2085,game,game:war-in-middle-earth,War in Middle Earth,assertion:wikipedia:list-of-commodore-64-games-n-z:war-in-middle-earth:title-seed:war-in-middle-earth,War in Middle Earth,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
